Date,Open,High,Low,Close,Adj Close,Volume
2024-01-31,59.700001,59.980000,58.430000,58.630001,57.724308,11124900
2024-02-01,58.389999,59.830002,58.009998,59.750000,58.827003,8687600
2024-02-02,58.889999,59.029999,57.980000,58.150002,57.251724,14952500
2024-02-05,57.369999,57.430000,55.889999,55.970001,55.105400,14293600
2024-02-06,56.000000,56.580002,55.509998,56.230000,55.361382,10305400
2024-02-07,56.320000,56.669998,55.630001,56.380001,55.509068,7761300
2024-02-08,56.419998,56.419998,55.389999,56.290001,55.420456,8143000
2024-02-09,55.980000,56.630001,55.720001,56.580002,55.705975,8003500
2024-02-12,56.590000,57.630001,56.500000,57.549999,56.660992,9622000
2024-02-13,56.880001,57.139999,54.669998,55.250000,54.396519,12759700
2024-02-14,55.389999,56.070000,55.090000,56.009998,55.144779,8831300
2024-02-15,56.299999,57.660000,56.220001,57.270000,56.385315,9880000
2024-02-16,56.860001,57.419998,56.330002,57.029999,56.149021,9942500
2024-02-20,56.740002,57.320000,56.049999,56.610001,55.735512,13014600
2024-02-21,57.020000,57.340000,56.639999,57.099998,56.217941,9322700
2024-02-22,56.790001,57.080002,56.320000,56.669998,55.794586,10426000
2024-02-23,56.799999,57.459999,56.509998,56.779999,55.902885,10563900
2024-02-26,55.900002,55.930000,54.860001,55.150002,54.795063,12753800
2024-02-27,55.439999,55.990002,54.790001,55.560001,55.202423,12421800
2024-02-28,55.349998,55.720001,54.709999,55.040001,54.685772,13240400
2024-02-29,55.490002,55.860001,54.959999,55.189999,54.834805,19993600
2024-03-01,55.259998,55.619999,54.279999,55.209999,54.854675,15397600
2024-03-04,54.779999,55.070000,53.950001,54.970001,54.616222,11674600
2024-03-05,55.000000,56.509998,54.950001,55.400002,55.043453,16026100
2024-03-06,55.980000,56.910000,55.259998,55.529999,55.172615,11074900
2024-03-07,56.080002,56.470001,55.529999,56.250000,55.887981,10227300
2024-03-08,56.720001,58.160000,56.310001,57.810001,57.437943,12734800
2024-03-11,57.570000,58.139999,56.889999,57.869999,57.497555,9681500
2024-03-12,57.669998,58.000000,56.549999,57.150002,56.782192,9634400
2024-03-13,59.000000,60.369999,58.950001,59.540001,59.156811,17495300
2024-03-14,59.200001,60.240002,59.110001,59.540001,59.156811,16996100
2024-03-15,59.200001,60.130001,58.880001,60.080002,59.693336,32424500
2024-03-18,60.080002,61.139999,59.439999,60.169998,59.782753,17073700
